央视频道,#genre#
CCTV女性时尚,http://183.185.40.47:8085/rtp/226.0.2.226:9720$(山西太原3)
CCTV风云剧场,http://183.185.40.47:8085/rtp/226.0.2.227:9728$(山西太原3)

CCTV央视台球,http://183.185.112.224:8082/rtp/226.0.2.216:9640$(山西太原4)
CCTV高尔夫网球,http://183.185.112.224:8082/rtp/226.0.2.217:9648$(山西太原4)
CCTV电视指南,http://183.185.112.224:8082/rtp/226.0.2.218:9656$(山西太原4)
CCTV央视文化精品,http://183.185.112.224:8082/rtp/226.0.2.219:9664$(山西太原4)
CCTV风云音乐,http://183.185.112.224:8082/rtp/226.0.2.220:9672$(山西太原4)
CCTV第一剧场,http://183.185.112.224:8082/rtp/226.0.2.221:9680$(山西太原4)
CCTV世界地理,http://183.185.112.224:8082/rtp/226.0.2.222:9688$(山西太原4)
CCTV兵器科技,http://183.185.112.224:8082/rtp/226.0.2.223:9696$(山西太原4)
CCTV怀旧剧场,http://183.185.112.224:8082/rtp/226.0.2.224:9704$(山西太原4)
CCTV风云足球,http://183.185.112.224:8082/rtp/226.0.2.225:9712$(山西太原4)
CCTV女性时尚,http://183.185.112.224:8082/rtp/226.0.2.226:9720$(山西太原4)
CCTV风云剧场,http://183.185.112.224:8082/rtp/226.0.2.227:9728$(山西太原4)

CCTV第一剧场,http://117.32.84.56:8019/rtp/239.111.205.65:5140$(陕西渭南1)
CCTV风云剧场,http://117.32.84.56:8019/rtp/239.111.205.66:5140$(陕西渭南1)
CCTV怀旧剧场,http://117.32.84.56:8019/rtp/239.111.205.67:5140$(陕西渭南1)
CCTV风云足球,http://117.32.84.56:8019/rtp/239.111.205.68:5140$(陕西渭南1)
CCTV风云音乐,http://117.32.84.56:8019/rtp/239.111.205.69:5140$(陕西渭南1)
CCTV央视台球,http://117.32.84.56:8019/rtp/239.111.205.70:5140$(陕西渭南1)
CCTV世界地理,http://117.32.84.56:8019/rtp/239.111.205.71:5140$(陕西渭南1)
CCTV女性时尚,http://117.32.84.56:8019/rtp/239.111.205.72:5140$(陕西渭南1)
CCTV高尔夫网球,http://117.32.84.56:8019/rtp/239.111.205.73:5140$(陕西渭南1)
CCTV兵器科技,http://117.32.84.56:8019/rtp/239.111.205.74:5140$(陕西渭南1)
CCTV央视文化精品,http://117.32.84.56:8019/rtp/239.111.205.75:5140$(陕西渭南1)

CCTV第一剧场,http://1.82.70.108:8014/rtp/239.111.205.65:5140$(陕西渭南2)
CCTV风云剧场,http://1.82.70.108:8014/rtp/239.111.205.66:5140$(陕西渭南2)
CCTV怀旧剧场,http://1.82.70.108:8014/rtp/239.111.205.67:5140$(陕西渭南2)
CCTV风云足球,http://1.82.70.108:8014/rtp/239.111.205.68:5140$(陕西渭南2)
CCTV风云音乐,http://1.82.70.108:8014/rtp/239.111.205.69:5140$(陕西渭南2)
CCTV央视台球,http://1.82.70.108:8014/rtp/239.111.205.70:5140$(陕西渭南2)
CCTV世界地理,http://1.82.70.108:8014/rtp/239.111.205.71:5140$(陕西渭南2)
CCTV女性时尚,http://1.82.70.108:8014/rtp/239.111.205.72:5140$(陕西渭南2)
CCTV高尔夫网球,http://1.82.70.108:8014/rtp/239.111.205.73:5140$(陕西渭南2)
CCTV兵器科技,http://1.82.70.108:8014/rtp/239.111.205.74:5140$(陕西渭南2)
CCTV央视文化精品,http://1.82.70.108:8014/rtp/239.111.205.75:5140$(陕西渭南2)

CCTV第一剧场,http://219.144.151.152:9001/rtp/239.111.205.65:5140$(陕西宝鸡)
CCTV风云剧场,http://219.144.151.152:9001/rtp/239.111.205.66:5140$(陕西宝鸡)
CCTV怀旧剧场,http://219.144.151.152:9001/rtp/239.111.205.67:5140$(陕西宝鸡)
CCTV风云足球,http://219.144.151.152:9001/rtp/239.111.205.68:5140$(陕西宝鸡)
CCTV风云音乐,http://219.144.151.152:9001/rtp/239.111.205.69:5140$(陕西宝鸡)
CCTV央视台球,http://219.144.151.152:9001/rtp/239.111.205.70:5140$(陕西宝鸡)
CCTV世界地理,http://219.144.151.152:9001/rtp/239.111.205.71:5140$(陕西宝鸡)
CCTV女性时尚,http://219.144.151.152:9001/rtp/239.111.205.72:5140$(陕西宝鸡)
CCTV高尔夫网球,http://219.144.151.152:9001/rtp/239.111.205.73:5140$(陕西宝鸡)
CCTV兵器科技,http://219.144.151.152:9001/rtp/239.111.205.74:5140$(陕西宝鸡)
CCTV央视文化精品,http://219.144.151.152:9001/rtp/239.111.205.75:5140$(陕西宝鸡)




#  yinhe #

CCTV-1,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-1,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-2,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-3,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-4,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-4,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001333/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-7,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-8,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001276/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-8,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-9,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-10,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-11,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001327/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-12,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-13,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001328/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-14,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001292/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-15,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001020/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-16,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002395/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-17,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001295/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV世界地理,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002485/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV兵器科技,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002515/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV央视台球,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002496/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV女性时尚,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002475/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV怀旧剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002495/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV央视文化精品,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002535/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV电视指南,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV第一剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002498/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV风云剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002505/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV风云足球,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002499/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV风云音乐,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002525/index.m3u8?virtualDomain=yinhe.live_hls.zte.com


#  山东移动 #

CCTV-1,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000001/index.m3u8
CCTV-2,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000359/index.m3u8
CCTV-4,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000320/index.m3u8

CCTV-5,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000360/index.m3u8
CCTV-5+,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000361/index.m3u8
CCTV-7,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000362/index.m3u8
CCTV-9,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000344/index.m3u8
CCTV-12,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000345/index.m3u8
CCTV-14,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000346/index.m3u8
CCTV-17,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000303/index.m3u8




#  电信专区#
CCTV-1,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv1

CCTV-2,http://221.2.146.228:8888/newlive/live/hls/3/live.m3u8#http://113.200.53.90:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://tv.ydonline.cn/ysp.php?id=cctv2
CCTV-3,http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://116.132.87.246:8888/newlive/live/hls/4/live.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv3
CCTV-4,http://39.134.66.4/PLTV/88888888/224/3221226092/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv4
CCTV-5,http://39.135.135.4/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv5
CCTV-5+,http://39.134.66.4/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225507/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv5p
CCTV-6,http://39.135.135.4/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225814/index.m3u8#http://39.134.65.177/PLTV/88888888/224/3221225814/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://39.134.66.4/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.164/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225671/index.m3u8#http://39.134.66.2/PLTV/88888888/224/3221225671/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv7
CCTV-8,http://39.134.65.181/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.175/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.65.177/PLTV/88888888/224/3221225795/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://116.132.87.246:8888/newlive/live/hls/10/live.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv8
CCTV-9,http://39.134.66.46/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.166/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225676/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv9
CCTV-10,http://39.134.66.46/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.65.166/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226128/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv10
CCTV-11,http://39.134.66.4/PLTV/88888888/224/3221226123/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv11
CCTV-12,http://39.134.66.46/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.65.164/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.65.166/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226130/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv12
CCTV-13,http://39.134.66.4/PLTV/88888888/224/3221226077/index.m3u8#http://39.134.66.4/PLTV/88888888/224/3221226125/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8?#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8#http://116.132.87.246:8888/newlive/live/hls/15/live.m3u8#https://live-play.cctvnews.cctv.com:443/cctv/merge_cctv13.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv13
CCTV-14,http://39.134.66.4/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.65.179/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.65.164/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.65.173/PLTV/88888888/224/3221225674/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv14
CCTV-15,http://tv.ydonline.cn/ysp.php?id=cctv15
CCTV-16,http://39.134.66.46/PLTV/88888888/224/3221225893/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225893/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv16
CCTV-17,http://39.134.66.4/PLTV/88888888/224/3221225708/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8#http://39.134.66.46/PLTV/88888888/224/3221225708/index.m3u8#http://39.134.65.181/PLTV/88888888/224/3221225708/index.m3u8#http://39.134.65.183/PLTV/88888888/224/3221225708/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://tv.ydonline.cn/ysp.php?id=cctv17



#银河奇异果GITV#
CCTV-1,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8
CCTV-2,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-2-CQ/G_CCTV-2-CQ.m3u8
CCTV-3,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-3-CQ/G_CCTV-3-CQ.m3u8
CCTV-4,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-4-CQ/G_CCTV-4-CQ.m3u8
CCTV-4,http://cyz32.livehbindex.hbcatv.cn/live/5b0dff5235e94ba8bff8731427145289.m3u8?bitrate=2300&pt=5
CCTV-5,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-5-CQ/G_CCTV-5-CQ.m3u8
CCTV-6,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-6-CQ/G_CCTV-6-CQ.m3u8
CCTV-7,http://cyz32.livehbindex.hbcatv.cn/live/500000204daa45af99b5800a528fac21.m3u8?bitrate=2300&pt=5
CCTV-7,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-7-CQ/G_CCTV-7-CQ.m3u8
CCTV-8,http://jscbn.tx-cdn.gitv.tv/gitv_escape/G_CCTV-8-CQ/G_CCTV-8-CQ.m3u8
